url,name,stars,review,price,total_guest,bedrooms,bed,bath
https://www.airbnb.com/rooms/41468708,Modern spacious holiday home with beautiful views,5.0,8,$122 / night,8 guests,4 bedrooms,6 beds,5 baths
https://www.airbnb.com/rooms/37566271,Apartment Villa near the beach,4.75,20,$75 / night,5 guests,2 bedrooms,3 beds,1.5 baths
https://www.airbnb.com/rooms/17699294,Basic room for 2 in the centre (no.2),4.79,14,$48 / night,2 guests,1 bedroom,2 beds,1 shared bath
https://www.airbnb.com/rooms/13545849,2 bedroom flat with panoramic sea view,,,$47 / night,5 guests,2 bedrooms,5 beds,1 private bath
https://www.airbnb.com/rooms/33740469,fantastic 1 bed apartment on clc sea views bbq,,,$119 / night,4 guests,1 bedroom,2 beds,1 bath
https://www.airbnb.com/rooms/22768116,Serene and calm place to stay...,,,$55 / night,1 guest,1 bedroom,1 bed,1 shared bath
https://www.airbnb.com/rooms/11938557,Belle chambre romantique,,,$73 / night,2 guests,1 bedroom,1 bed,1 bath
